Date,Ticker,Price,DailyRetMult,CloseLog10,DailyRetLogDiff
3/21/2018,VDE,93.50262,xx,,
3/20/2018,VDE,90.90863,xx,,
3/19/2018,VDE,90.1533,xx,,
3/16/2018,VDE,91.70372,xx,,
3/15/2018,VDE,90.82714,xx,,
3/14/2018,VDE,91.33074,xx,,
3/13/2018,VDE,91.8541,xx,,
3/12/2018,VDE,92.49596,xx,,
3/9/2018,VDE,92.44659,xx,,
3/8/2018,VDE,90.71852,xx,,
3/7/2018,VDE,90.85677,xx,,
3/6/2018,VDE,91.59737,xx,,
3/5/2018,VDE,91.65661,xx,,
3/2/2018,VDE,90.51115,xx,,
3/1/2018,VDE,90.00755,xx,,
2/28/2018,VDE,89.96804,xx,,
2/27/2018,VDE,92.27871,xx,,
8/27/2018,VTC,81.85,xx,,
8/24/2018,VTC,81.875,xx,,
8/23/2018,VTC,81.875,xx,,
8/22/2018,VTC,81.86,xx,,
8/21/2018,VTC,81.92,xx,,
8/20/2018,VTC,82.11,xx,,
8/17/2018,VTC,81.84,xx,,
8/16/2018,VTC,81.7,xx,,
8/15/2018,VTC,81.6,xx,,
8/14/2018,VTC,81.51,xx,,
8/13/2018,VTC,81.35,xx,,
8/10/2018,VTC,81.37,xx,,
8/9/2018,VTC,81.44,xx,,
8/8/2018,VTC,81.25,xx,,
8/7/2018,VTC,81.46,xx,,
8/6/2018,VTC,81.5,xx,,
8/3/2018,VTC,81.4,xx,,
8/2/2018,VTC,81.14,xx,,
8/1/2018,VTC,80.95,xx,,
7/31/2018,VTC,81.432,xx,,
7/30/2018,VTC,81.18267,xx,,
7/27/2018,VTC,81.2824,xx,,
7/26/2018,VTC,81.14278,xx,,
7/25/2018,VTC,81.0929,xx,,
7/24/2018,VTC,81.00315,xx,,
7/23/2018,VTC,80.78374,xx,,
7/20/2018,VTC,81.07296,xx,,
7/19/2018,VTC,81.26246,xx,,
7/18/2018,VTC,81.15275,xx,,
7/17/2018,VTC,81.24251,xx,,
7/16/2018,VTC,81.35221,xx,,
7/13/2018,VTC,81.432,xx,,
7/12/2018,VTC,81.24251,xx,,
7/11/2018,VTC,81.10786,xx,,
7/10/2018,VTC,81.1328,xx,,
7/9/2018,VTC,81.15275,xx,,
7/6/2018,VTC,81.17269,xx,,
7/5/2018,VTC,80.94331,xx,,
7/3/2018,VTC,80.80368,xx,,
7/2/2018,VTC,80.56931,xx,,
6/29/2018,VTC,80.54437,xx,,
6/28/2018,VTC,80.61897,xx,,
6/27/2018,VTC,80.67864,xx,,
6/26/2018,VTC,80.3007,xx,,
6/25/2018,VTC,80.23109,xx,,
6/22/2018,VTC,80.2112,xx,,
6/21/2018,VTC,80.26093,xx,,
6/20/2018,VTC,80.33054,xx,,
6/19/2018,VTC,80.68858,xx,,
6/18/2018,VTC,80.5593,xx,,
6/15/2018,VTC,80.70848,xx,,
6/14/2018,VTC,80.70848,xx,,
6/13/2018,VTC,80.46979,xx,,
6/12/2018,VTC,80.5593,xx,,
6/11/2018,VTC,80.52946,xx,,
6/8/2018,VTC,80.53941,xx,,
6/7/2018,VTC,80.56924,xx,,
6/6/2018,VTC,80.45486,xx,,
6/5/2018,VTC,80.67864,xx,,
6/4/2018,VTC,80.52946,xx,,
6/1/2018,VTC,80.79798,xx,,
5/31/2018,VTC,81.06453,xx,,
5/30/2018,VTC,80.95049,xx,,
5/29/2018,VTC,81.3521,xx,,
5/25/2018,VTC,80.77695,xx,,
5/24/2018,VTC,80.57864,xx,,
5/23/2018,VTC,80.45964,xx,,
5/22/2018,VTC,80.05309,xx,,
5/21/2018,VTC,80.1225,xx,,
5/18/2018,VTC,80.063,xx,,
5/17/2018,VTC,79.92416,xx,,
5/16/2018,VTC,80.0035,xx,,
5/15/2018,VTC,80.02333,xx,,
5/14/2018,VTC,80.54889,xx,,
5/11/2018,VTC,80.64805,xx,,
5/10/2018,VTC,80.49931,xx,,
5/9/2018,VTC,80.26132,xx,,
5/8/2018,VTC,80.25636,xx,,
5/7/2018,VTC,80.37535,xx,,
5/4/2018,VTC,80.36048,xx,,
5/3/2018,VTC,80.41006,xx,,
5/2/2018,VTC,80.33073,xx,,
5/1/2018,VTC,80.33569,xx,,
4/30/2018,VTC,80.58558,xx,,
4/27/2018,VTC,80.51635,xx,,
4/26/2018,VTC,80.42735,xx,,
4/25/2018,VTC,80.28396,xx,,
4/24/2018,VTC,80.4768,xx,,
4/23/2018,VTC,80.5658,xx,,
4/20/2018,VTC,80.71908,xx,,
4/19/2018,VTC,80.88719,xx,,
4/18/2018,VTC,81.33714,xx,,
4/17/2018,VTC,81.59426,xx,,
4/16/2018,VTC,81.44592,xx,,
4/13/2018,VTC,81.43604,xx,,
4/12/2018,VTC,81.68821,xx,,
4/11/2018,VTC,81.7327,xx,,
4/10/2018,VTC,81.51514,xx,,
4/9/2018,VTC,81.51514,xx,,
4/6/2018,VTC,81.69315,xx,,
4/5/2018,VTC,81.23825,xx,,
4/4/2018,VTC,81.33714,xx,,
4/3/2018,VTC,81.2877,xx,,
4/2/2018,VTC,81.45581,xx,,
3/29/2018,VTC,81.41921,xx,,
3/28/2018,VTC,81.13333,xx,,
3/27/2018,VTC,80.91645,xx,,
3/26/2018,VTC,80.63056,xx,,
3/23/2018,VTC,80.6552,xx,,
3/22/2018,VTC,80.8011,xx,,
3/21/2018,VTC,80.48466,xx,,
3/20/2018,VTC,80.66999,xx,,
3/19/2018,VTC,80.89476,xx,,
3/16/2018,VTC,81.05447,xx,,
3/15/2018,VTC,81.07418,xx,,
3/14/2018,VTC,81.03474,xx,,
3/13/2018,VTC,80.95589,xx,,
3/12/2018,VTC,80.85729,xx,,
3/9/2018,VTC,80.93616,xx,,
3/8/2018,VTC,80.99532,xx,,
3/7/2018,VTC,80.86716,xx,,
3/6/2018,VTC,80.9263,xx,,
3/5/2018,VTC,80.88688,xx,,
3/2/2018,VTC,80.83759,xx,,
3/1/2018,VTC,81.18262,xx,,
2/28/2018,VTC,81.08108,xx,,
2/27/2018,VTC,80.92374,xx,,
8/27/2018,VGT,199.35,xx,,
8/24/2018,VGT,197.83,xx,,
8/23/2018,VGT,195.59,xx,,
8/22/2018,VGT,194.97,xx,,
8/21/2018,VGT,193.98,xx,,
8/20/2018,VGT,193.56,xx,,
8/17/2018,VGT,193.74,xx,,
8/16/2018,VGT,193.06,xx,,
8/15/2018,VGT,191.88,xx,,
8/14/2018,VGT,193.59,xx,,
8/13/2018,VGT,192.33,xx,,
8/10/2018,VGT,192.69,xx,,
8/9/2018,VGT,193.96,xx,,
8/8/2018,VGT,193.78,xx,,
8/7/2018,VGT,193.41,xx,,
8/6/2018,VGT,192.64,xx,,
8/3/2018,VGT,191.51,xx,,
8/2/2018,VGT,191.02,xx,,
8/1/2018,VGT,188.3,xx,,
7/31/2018,VGT,186.16,xx,,
7/30/2018,VGT,185.6,xx,,
7/27/2018,VGT,188.99,xx,,
7/26/2018,VGT,192.74,xx,,
7/25/2018,VGT,193.41,xx,,
7/24/2018,VGT,190.66,xx,,
7/23/2018,VGT,190.95,xx,,
7/20/2018,VGT,190.2,xx,,
7/19/2018,VGT,190.33,xx,,
7/18/2018,VGT,190.53,xx,,
7/17/2018,VGT,190.64,xx,,
7/16/2018,VGT,189.1,xx,,
7/13/2018,VGT,189.76,xx,,
7/12/2018,VGT,190,xx,,
7/11/2018,VGT,186.83,xx,,
7/10/2018,VGT,187.82,xx,,
7/9/2018,VGT,187.44,xx,,
7/6/2018,VGT,185.83,xx,,
7/5/2018,VGT,183.64,xx,,
7/3/2018,VGT,181.26,xx,,
7/2/2018,VGT,183.3,xx,,
6/29/2018,VGT,181.4,xx,,
6/28/2018,VGT,181.29,xx,,
6/27/2018,VGT,179.242,xx,,
6/26/2018,VGT,182.0344,xx,,
6/25/2018,VGT,181.077,xx,,
6/22/2018,VGT,185.3653,xx,,
6/21/2018,VGT,186.3526,xx,,
6/20/2018,VGT,188.0181,xx,,
6/19/2018,VGT,187.4995,xx,,
6/18/2018,VGT,188.806,xx,,
6/15/2018,VGT,188.5267,xx,,
6/14/2018,VGT,189.2448,xx,,
6/13/2018,VGT,188.2375,xx,,
6/12/2018,VGT,188.6065,xx,,
6/11/2018,VGT,187.3499,xx,,
6/8/2018,VGT,187.3699,xx,,
6/7/2018,VGT,187.34,xx,,
6/6/2018,VGT,189.4841,xx,,
6/5/2018,VGT,188.3971,xx,,
6/4/2018,VGT,187.3699,xx,,
6/1/2018,VGT,185.8141,xx,,
5/31/2018,VGT,182.5131,xx,,
5/30/2018,VGT,182.7026,xx,,
5/29/2018,VGT,181.3662,xx,,
5/25/2018,VGT,182.3934,xx,,
5/24/2018,VGT,182.3535,xx,,
5/23/2018,VGT,182.4832,xx,,
5/22/2018,VGT,181.087,xx,,
5/21/2018,VGT,181.5158,xx,,
5/18/2018,VGT,180.1096,xx,,
5/17/2018,VGT,180.8077,xx,,
5/16/2018,VGT,181.7053,xx,,
5/15/2018,VGT,180.7579,xx,,
5/14/2018,VGT,182.3436,xx,,
5/11/2018,VGT,182.5729,xx,,
5/10/2018,VGT,183.1015,xx,,
5/9/2018,VGT,180.9474,xx,,
5/8/2018,VGT,178.6037,xx,,
5/7/2018,VGT,177.9256,xx,,
5/4/2018,VGT,176.3997,xx,,
5/3/2018,VGT,173.1386,xx,,
5/2/2018,VGT,172.6001,xx,,
5/1/2018,VGT,172.5502,xx,,
4/30/2018,VGT,170.4958,xx,,
4/27/2018,VGT,171.174,xx,,
4/26/2018,VGT,171.902,xx,,
4/25/2018,VGT,168.4813,xx,,
4/24/2018,VGT,168.7506,xx,,
4/23/2018,VGT,172.0017,xx,,
4/20/2018,VGT,172.7198,xx,,
4/19/2018,VGT,175.1731,xx,,
4/18/2018,VGT,177.2574,xx,,
4/17/2018,VGT,177.5566,xx,,
4/16/2018,VGT,173.9464,xx,,
4/13/2018,VGT,172.7497,xx,,
4/12/2018,VGT,173.4378,xx,,
4/11/2018,VGT,171.3036,xx,,
4/10/2018,VGT,172.0117,xx,,
4/9/2018,VGT,167.8829,xx,,
4/6/2018,VGT,166.746,xx,,
4/5/2018,VGT,170.8748,xx,,
4/4/2018,VGT,170.1567,xx,,
4/3/2018,VGT,167.9328,xx,,
4/2/2018,VGT,166.4269,xx,,
3/29/2018,VGT,170.5357,xx,,
3/28/2018,VGT,166.9654,xx,,
3/27/2018,VGT,168.6309,xx,,
3/26/2018,VGT,174.5548,xx,,
3/23/2018,VGT,168.1721,xx,,
3/22/2018,VGT,172.7796,xx,,
3/21/2018,VGT,177.5466,xx,,
3/20/2018,VGT,178.3245,xx,,
3/19/2018,VGT,178.145,xx,,
3/16/2018,VGT,181.7153,xx,,
3/15/2018,VGT,181.9267,xx,,
3/14/2018,VGT,181.8869,xx,,
3/13/2018,VGT,181.8471,xx,,
3/12/2018,VGT,184.0764,xx,,
3/9/2018,VGT,183.4295,xx,,
3/8/2018,VGT,179.8765,xx,,
3/7/2018,VGT,179.1799,xx,,
3/6/2018,VGT,178.0553,xx,,
3/5/2018,VGT,177.4581,xx,,
3/2/2018,VGT,175.6568,xx,,
3/1/2018,VGT,173.7161,xx,,
2/28/2018,VGT,176.4928,xx,,
2/27/2018,VGT,177.6572,xx,,
8/27/2018,VWO,42.87,xx,,
8/24/2018,VWO,42.18,xx,,
8/23/2018,VWO,41.56,xx,,
8/22/2018,VWO,42.22,xx,,
8/21/2018,VWO,41.97,xx,,
8/20/2018,VWO,41.52,xx,,
8/17/2018,VWO,41.34,xx,,
8/16/2018,VWO,40.99,xx,,
8/15/2018,VWO,40.7,xx,,
8/14/2018,VWO,41.93,xx,,
8/13/2018,VWO,41.68,xx,,
8/10/2018,VWO,42.36,xx,,
8/9/2018,VWO,43.22,xx,,
8/8/2018,VWO,43.28,xx,,
8/7/2018,VWO,43.38,xx,,
8/6/2018,VWO,42.99,xx,,
8/3/2018,VWO,43.32,xx,,
8/2/2018,VWO,43.05,xx,,
8/1/2018,VWO,43.55,xx,,
7/31/2018,VWO,43.88,xx,,
7/30/2018,VWO,43.68,xx,,
7/27/2018,VWO,43.74,xx,,
7/26/2018,VWO,43.68,xx,,
7/25/2018,VWO,44.11,xx,,
7/24/2018,VWO,43.42,xx,,
7/23/2018,VWO,42.78,xx,,
7/20/2018,VWO,42.91,xx,,
7/19/2018,VWO,42.36,xx,,
7/18/2018,VWO,42.85,xx,,
7/17/2018,VWO,42.89,xx,,
7/16/2018,VWO,42.56,xx,,
7/13/2018,VWO,42.8,xx,,
7/12/2018,VWO,42.77,xx,,
7/11/2018,VWO,42.18,xx,,
7/10/2018,VWO,42.98,xx,,
7/9/2018,VWO,43.02,xx,,
7/6/2018,VWO,42.25,xx,,
7/5/2018,VWO,41.74,xx,,
7/3/2018,VWO,41.78,xx,,
7/2/2018,VWO,41.74,xx,,
6/29/2018,VWO,42.2,xx,,
6/28/2018,VWO,41.52,xx,,
6/27/2018,VWO,41.13,xx,,
6/26/2018,VWO,42.06,xx,,
6/25/2018,VWO,42.23,xx,,
6/22/2018,VWO,42.79,xx,,
6/21/2018,VWO,42.445,xx,,
6/20/2018,VWO,43.05107,xx,,
6/19/2018,VWO,42.91198,xx,,
6/18/2018,VWO,43.40876,xx,,
6/15/2018,VWO,43.91547,xx,,
6/14/2018,VWO,44.15393,xx,,
6/13/2018,VWO,44.39238,xx,,
6/12/2018,VWO,44.72026,xx,,
6/11/2018,VWO,44.75007,xx,,
6/8/2018,VWO,44.80968,xx,,
6/7/2018,VWO,44.83949,xx,,
6/6/2018,VWO,45.53498,xx,,
6/5/2018,VWO,44.88916,xx,,
6/4/2018,VWO,45.28659,xx,,
6/1/2018,VWO,44.81962,xx,,
5/31/2018,VWO,44.32283,xx,,
5/30/2018,VWO,44.27316,xx,,
5/29/2018,VWO,43.88567,xx,,
5/25/2018,VWO,44.87923,xx,,
5/24/2018,VWO,44.76994,xx,,
5/23/2018,VWO,44.92891,xx,,
5/22/2018,VWO,45.12762,xx,,
5/21/2018,VWO,44.94878,xx,,
5/18/2018,VWO,44.66065,xx,,
5/17/2018,VWO,45.07794,xx,,
5/16/2018,VWO,45.71382,xx,,
5/15/2018,VWO,45.07794,xx,,
5/14/2018,VWO,45.95228,xx,,
5/11/2018,VWO,45.81318,xx,,
5/10/2018,VWO,45.97215,xx,,
5/9/2018,VWO,45.07794,xx,,
5/8/2018,VWO,45.01833,xx,,
5/7/2018,VWO,44.78981,xx,,
5/4/2018,VWO,44.90904,xx,,
5/3/2018,VWO,44.69045,xx,,
5/2/2018,VWO,44.82955,xx,,
5/1/2018,VWO,45.12762,xx,,
4/30/2018,VWO,45.38595,xx,,
4/27/2018,VWO,45.69395,xx,,
4/26/2018,VWO,45.4555,xx,,
4/25/2018,VWO,44.98852,xx,,
4/24/2018,VWO,45.32633,xx,,
4/23/2018,VWO,45.53498,xx,,
4/20/2018,VWO,45.84298,xx,,
4/19/2018,VWO,46.38944,xx,,
4/18/2018,VWO,46.64777,xx,,
4/17/2018,VWO,46.31989,xx,,
4/16/2018,VWO,46.28016,xx,,
4/13/2018,VWO,46.24041,xx,,
4/12/2018,VWO,46.72726,xx,,
4/11/2018,VWO,46.73719,xx,,
4/10/2018,VWO,46.67758,xx,,
4/9/2018,VWO,45.82311,xx,,
4/6/2018,VWO,45.86286,xx,,
4/5/2018,VWO,46.68752,xx,,
4/4/2018,VWO,46.58816,xx,,
4/3/2018,VWO,46.43913,xx,,
4/2/2018,VWO,45.99202,xx,,
3/29/2018,VWO,46.67758,xx,,
3/28/2018,VWO,45.84298,xx,,
3/27/2018,VWO,46.16092,xx,,
3/26/2018,VWO,46.85642,xx,,
3/23/2018,VWO,45.4863,xx,,
3/22/2018,VWO,46.16061,xx,,
3/21/2018,VWO,47.6679,xx,,
3/20/2018,VWO,47.41007,xx,,
3/19/2018,VWO,47.0035,xx,,
3/16/2018,VWO,47.44973,xx,,
3/15/2018,VWO,47.59848,xx,,
3/14/2018,VWO,47.78689,xx,,
3/13/2018,VWO,47.72739,xx,,
3/12/2018,VWO,48.19346,xx,,
3/9/2018,VWO,48.02488,xx,,
3/8/2018,VWO,47.182,xx,,
3/7/2018,VWO,47.15224,xx,,
3/6/2018,VWO,47.16216,xx,,
3/5/2018,VWO,47.02333,xx,,
3/2/2018,VWO,46.8845,xx,,
3/1/2018,VWO,46.76551,xx,,
2/28/2018,VWO,46.77542,xx,,
2/27/2018,VWO,47.39024,xx,,
8/27/2018,VSS,115.54,xx,,
8/24/2018,VSS,114.13,xx,,
8/23/2018,VSS,112.97,xx,,
8/22/2018,VSS,113.86,xx,,
8/21/2018,VSS,113.35,xx,,
8/20/2018,VSS,112.12,xx,,
8/17/2018,VSS,111.91,xx,,
8/16/2018,VSS,111.1,xx,,
8/15/2018,VSS,110.5,xx,,
8/14/2018,VSS,112.44,xx,,
8/13/2018,VSS,112.15,xx,,
8/10/2018,VSS,113.31,xx,,
8/9/2018,VSS,115.15,xx,,
8/8/2018,VSS,115.32,xx,,
8/7/2018,VSS,115.3,xx,,
8/6/2018,VSS,114.92,xx,,
8/3/2018,VSS,115.62,xx,,
8/2/2018,VSS,115.55,xx,,
8/1/2018,VSS,116.31,xx,,
7/31/2018,VSS,116.52,xx,,
7/30/2018,VSS,116.56,xx,,
7/27/2018,VSS,116.82,xx,,
7/26/2018,VSS,116.5,xx,,
7/25/2018,VSS,116.92,xx,,
7/24/2018,VSS,115.7,xx,,
7/23/2018,VSS,114.96,xx,,
7/20/2018,VSS,115.34,xx,,
7/19/2018,VSS,114.76,xx,,
